mode,seed,steps,wall_sec,audio_sec,pred_frames_msg,used_seed,out_file
clone_caption,1234,24,29.38,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1234,v4py-clone_caption-seed1234-r2s.wav
clone_caption,1235,24,27.93,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1235,v4py-clone_caption-seed1235-r2s.wav
clone_caption,1236,24,26.98,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1236,v4py-clone_caption-seed1236-r2s.wav
clone_caption,1237,24,26.19,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1237,v4py-clone_caption-seed1237-r2s.wav
clone_caption,1238,24,26.87,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1238,v4py-clone_caption-seed1238-r2s.wav
clone_caption,1239,24,28.87,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1239,v4py-clone_caption-seed1239-r2s.wav
clone_caption,1240,24,28.5,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1240,v4py-clone_caption-seed1240-r2s.wav
clone_caption,1241,24,28.0,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1241,v4py-clone_caption-seed1241-r2s.wav
clone_caption,1242,24,28.56,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1242,v4py-clone_caption-seed1242-r2s.wav
clone_caption,1243,24,28.63,8.04,"info: predicted duration frames=201.3, scale=1.000, using_frames=201 (8.040s).",1243,v4py-clone_caption-seed1243-r2s.wav
