mode,seed,steps,wall_sec,audio_sec,pred_frames_msg,used_seed,out_file
clone_caption,1234,24,38.39,11.2,,1234,v4py-clone_caption-seed1234-p1120.wav
clone_caption,1235,24,38.4,11.2,,1235,v4py-clone_caption-seed1235-p1120.wav
clone_caption,1236,24,35.29,11.2,,1236,v4py-clone_caption-seed1236-p1120.wav
clone_caption,1237,24,34.74,11.2,,1237,v4py-clone_caption-seed1237-p1120.wav
clone_caption,1238,24,34.64,11.2,,1238,v4py-clone_caption-seed1238-p1120.wav
clone_caption,1239,24,33.99,11.2,,1239,v4py-clone_caption-seed1239-p1120.wav
clone_caption,1240,24,33.88,11.2,,1240,v4py-clone_caption-seed1240-p1120.wav
clone_caption,1241,24,37.69,11.2,,1241,v4py-clone_caption-seed1241-p1120.wav
clone_caption,1242,24,38.43,11.2,,1242,v4py-clone_caption-seed1242-p1120.wav
clone_caption,1243,24,38.49,11.2,,1243,v4py-clone_caption-seed1243-p1120.wav
